"block","count_main_sequence","first_trial_timestamp","fname","response_catch_response","response_time_catch_response","subject_nr","time_stimulus","time_to_pad"
"E","0","50344","vowelstep1_catch.wav","1","166","105","256356","332"
"E","0","50344","vowelstep1.wav","None","1000","105","258356","1177"
"E","0","50344","vowelstep1.wav","None","1000","105","260356","342"
"E","0","50344","silence.wav","None","1000","105","262357","341"
"E","0","50344","sinestep7.wav","None","1000","105","264357","351"
"E","0","50344","vowelstep7.wav","None","1000","105","266356","331"
"E","0","50344","vowelstep3_catch.wav","1","198","105","268356","332"
"E","0","50344","vowelstep5.wav","None","1000","105","270356","1131"
"E","0","50344","sinestep3.wav","None","1000","105","272356","342"
"E","0","50344","silence.wav","None","1000","105","274356","342"
"E","0","50344","sinestep1.wav","None","1000","105","276356","342"
"E","0","50344","sinestep5.wav","None","1000","105","278356","322"
"E","0","50344","sinestep5.wav","None","1000","105","280357","331"
"E","0","50344","sinestep3.wav","None","1000","105","282357","329"
"E","0","50344","sinestep5.wav","None","1000","105","284357","329"
"E","0","50344","vowelstep3.wav","None","1000","105","286357","340"
"E","0","50344","sinestep7.wav","None","1000","105","288357","341"
"E","0","50344","sinestep7.wav","None","1000","105","290356","340"
"E","0","50344","silence.wav","None","1000","105","292356","350"
"E","0","50344","sinestep3.wav","None","1000","105","294356","329"
"E","0","50344","sinestep3.wav","None","1000","105","296356","330"
"E","0","50344","vowelstep3.wav","None","1000","105","298357","329"
"E","0","50344","silence.wav","None","1000","105","300357","339"
"E","0","50344","sinestep7.wav","None","1000","105","302357","339"
"E","0","50344","silence.wav","None","1000","105","304357","340"
"E","0","50344","vowelstep7.wav","None","1000","105","306357","350"
"E","0","50344","vowelstep3.wav","None","1000","105","308357","350"
"E","0","50344","silence.wav","None","1000","105","310357","330"
"E","0","50344","vowelstep3.wav","None","1000","105","312357","329"
"E","0","50344","vowelstep1.wav","None","1000","105","314357","339"
"E","0","50344","vowelstep5.wav","None","1000","105","316357","337"
"E","0","50344","silence.wav","None","1000","105","318357","338"
"E","0","50344","vowelstep3.wav","None","1000","105","320357","310"
"E","0","50344","sinestep1.wav","None","1000","105","322357","349"
"E","0","50344","vowelstep5_catch.wav","1","311","105","324357","349"
"E","0","50344","sinestep7.wav","None","1000","105","326357","1037"
"E","0","50344","sinestep7.wav","None","1000","105","328357","339"
"E","0","50344","vowelstep7.wav","None","1000","105","330357","338"
"E","0","50344","silence.wav","None","1000","105","332358","338"
"E","0","50344","sinestep5.wav","None","1000","105","334358","320"
"E","0","50344","silence.wav","None","1000","105","336358","347"
"E","0","50344","silence.wav","None","1000","105","338357","347"
"E","0","50344","vowelstep5.wav","None","1000","105","340357","358"
"E","0","50344","vowelstep5.wav","None","1000","105","342357","339"
"E","0","50344","silence.wav","None","1000","105","344357","337"
"E","0","50344","vowelstep5.wav","None","1000","105","346357","337"
"E","0","50344","vowelstep7_catch.wav","1","202","105","348357","334"
"E","0","50344","vowelstep7_catch.wav","1","151","105","350358","1145"
"E","0","50344","vowelstep5.wav","None","1000","105","352358","1195"
"E","0","50344","sinestep1.wav","None","1000","105","354358","344"
"E","0","50344","vowelstep3.wav","None","1000","105","356358","317"
"E","0","50344","vowelstep5_catch.wav","1","165","105","358358","335"
"E","0","50344","vowelstep7.wav","None","1000","105","360358","1171"
"E","0","50344","vowelstep5.wav","None","1000","105","362357","336"
"E","0","50344","vowelstep7.wav","None","1000","105","364357","346"
"E","0","50344","vowelstep1.wav","None","1000","105","366357","319"
"E","0","50344","vowelstep3_catch.wav","1","192","105","368358","355"
