"acc","block","correct_response","count_logger","fname","response_response","response_time_response","subject_nr"
"100","training_vowel","1","0","vowelstep7.wav","g","858","204"
"50","training_vowel","0","1","vowelstep5.wav","a","358","204"
"66.6666666667","training_vowel","1","2","vowelstep7.wav","g","349","204"
"50","training_vowel","0","3","vowelstep5.wav","a","404","204"
"40","training_vowel","0","4","vowelstep3.wav","g","431","204"
"33.3333333333","training_vowel","0","5","vowelstep3.wav","g","476","204"
"42.8571428571","training_vowel","1","6","vowelstep7.wav","g","1964","204"
"50","training_vowel","1","7","vowelstep5.wav","g","1034","204"
"44.4444444444","training_vowel","0","8","vowelstep5.wav","a","777","204"
"50","training_vowel","1","9","vowelstep7.wav","g","1003","204"
"54.5454545455","training_vowel","1","10","vowelstep7.wav","g","383","204"
"58.3333333333","training_vowel","1","11","vowelstep1.wav","a","351","204"
"61.5384615385","training_vowel","1","12","vowelstep7.wav","g","312","204"
"57.1428571429","training_vowel","0","13","vowelstep5.wav","a","563","204"
"60","training_vowel","1","14","vowelstep7.wav","g","264","204"
"62.5","training_vowel","1","15","vowelstep1.wav","a","513","204"
"64.7058823529","training_vowel","1","16","vowelstep5.wav","g","3307","204"
"66.6666666667","training_vowel","1","17","vowelstep5.wav","g","485","204"
"63.1578947368","training_vowel","0","18","vowelstep1.wav","g","961","204"
"65","training_vowel","1","19","vowelstep7.wav","g","412","204"
"61.9047619048","training_vowel","0","20","vowelstep5.wav","a","486","204"
"63.6363636364","training_vowel","1","21","vowelstep5.wav","g","328","204"
"60.8695652174","training_vowel","0","22","vowelstep5.wav","a","1581","204"
"62.5","training_vowel","1","23","vowelstep1.wav","a","1157","204"
"64","training_vowel","1","24","vowelstep5.wav","g","804","204"
"61.5384615385","training_vowel","0","25","vowelstep7.wav","a","2179","204"
"62.962962963","training_vowel","1","26","vowelstep1.wav","a","1079","204"
"60.7142857143","training_vowel","0","27","vowelstep1.wav","g","391","204"
"62.0689655172","training_vowel","1","28","vowelstep3.wav","a","967","204"
"63.3333333333","training_vowel","1","29","vowelstep5.wav","g","328","204"
"61.2903225806","training_vowel","0","30","vowelstep3.wav","g","646","204"
"59.375","training_vowel","0","31","vowelstep3.wav","g","256","204"
"60.6060606061","training_vowel","1","32","vowelstep5.wav","g","256","204"
"61.7647058824","training_vowel","1","33","vowelstep7.wav","g","315","204"
"62.8571428571","training_vowel","1","34","vowelstep5.wav","g","331","204"
"63.8888888889","training_vowel","1","35","vowelstep7.wav","g","214","204"
"64.8648648649","training_vowel","1","36","vowelstep3.wav","a","268","204"
"65.7894736842","training_vowel","1","37","vowelstep7.wav","g","208","204"
"66.6666666667","training_vowel","1","38","vowelstep3.wav","a","310","204"
"67.5","training_vowel","1","39","vowelstep5.wav","g","199","204"
"68.2926829268","training_vowel","1","40","vowelstep1.wav","a","178","204"
"69.0476190476","training_vowel","1","41","vowelstep7.wav","g","206","204"
"69.7674418605","training_vowel","1","42","vowelstep1.wav","a","528","204"
"70.4545454545","training_vowel","1","43","vowelstep5.wav","g","1049","204"
"71.1111111111","training_vowel","1","44","vowelstep1.wav","a","766","204"
"71.7391304348","training_vowel","1","45","vowelstep5.wav","g","254","204"
"72.3404255319","training_vowel","1","46","vowelstep7.wav","g","150","204"
"72.9166666667","training_vowel","1","47","vowelstep7.wav","g","406","204"
"73.4693877551","training_vowel","1","48","vowelstep5.wav","g","291","204"
"74","training_vowel","1","49","vowelstep7.wav","g","721","204"
"74.5098039216","training_vowel","1","50","vowelstep7.wav","g","249","204"
"75","training_vowel","1","51","vowelstep1.wav","a","757","204"
"75.4716981132","training_vowel","1","52","vowelstep3.wav","a","431","204"
"75.9259259259","training_vowel","1","53","vowelstep7.wav","g","484","204"
"76.3636363636","training_vowel","1","54","vowelstep3.wav","a","298","204"
"76.7857142857","training_vowel","1","55","vowelstep3.wav","a","546","204"
"77.1929824561","training_vowel","1","56","vowelstep1.wav","a","228","204"
"77.5862068966","training_vowel","1","57","vowelstep3.wav","a","50","204"
"77.9661016949","training_vowel","1","58","vowelstep1.wav","a","202","204"
"78.3333333333","training_vowel","1","59","vowelstep5.wav","g","58","204"
"78.6885245902","training_vowel","1","60","vowelstep3.wav","a","765","204"
"79.0322580645","training_vowel","1","61","vowelstep1.wav","a","879","204"
"77.7777777778","training_vowel","0","62","vowelstep5.wav","a","465","204"
"78.125","training_vowel","1","63","vowelstep5.wav","g","291","204"
"78.4615384615","training_vowel","1","64","vowelstep7.wav","g","315","204"
"78.7878787879","training_vowel","1","65","vowelstep1.wav","a","62","204"
"79.1044776119","training_vowel","1","66","vowelstep3.wav","a","161","204"
"79.4117647059","training_vowel","1","67","vowelstep7.wav","g","104","204"
"79.7101449275","training_vowel","1","68","vowelstep5.wav","g","600","204"
"80","training_vowel","1","69","vowelstep1.wav","a","95","204"
"80.2816901408","training_vowel","1","70","vowelstep5.wav","g","77","204"
"79.1666666667","training_vowel","0","71","vowelstep3.wav","g","157","204"
"79.4520547945","training_vowel","1","72","vowelstep5.wav","g","59","204"
"78.3783783784","training_vowel","0","73","vowelstep3.wav","g","932","204"
"78.6666666667","training_vowel","1","74","vowelstep3.wav","a","779","204"
"78.9473684211","training_vowel","1","75","vowelstep7.wav","g","395","204"
"79.2207792208","training_vowel","1","76","vowelstep1.wav","a","239","204"
"79.4871794872","training_vowel","1","77","vowelstep1.wav","a","266","204"
"79.746835443","training_vowel","1","78","vowelstep7.wav","g","253","204"
"80","training_vowel","1","79","vowelstep5.wav","g","681","204"
"80.2469135802","training_vowel","1","80","vowelstep1.wav","a","750","204"
"79.2682926829","training_vowel","0","81","vowelstep3.wav","g","781","204"
"79.5180722892","training_vowel","1","82","vowelstep1.wav","a","225","204"
"79.7619047619","training_vowel","1","83","vowelstep1.wav","a","1116","204"
"78.8235294118","training_vowel","0","84","vowelstep5.wav","a","625","204"
"79.0697674419","training_vowel","1","85","vowelstep3.wav","a","676","204"
"79.3103448276","training_vowel","1","86","vowelstep5.wav","g","2408","204"
"79.5454545455","training_vowel","1","87","vowelstep7.wav","g","624","204"
"78.6516853933","training_vowel","0","88","vowelstep5.wav","a","892","204"
"78.8888888889","training_vowel","1","89","vowelstep7.wav","g","2442","204"
"79.1208791209","training_vowel","1","90","vowelstep1.wav","a","305","204"
"78.2608695652","training_vowel","0","91","vowelstep5.wav","a","189","204"
"77.4193548387","training_vowel","0","92","vowelstep7.wav","a","332","204"
