"acc","block","correct_response","count_logger","fname","response_response","response_time_response","session_number","subject_nr"
"0","pretest_discrimination","0","0","i-y-u_step_2-step_4.wav","g","3021","1","1501"
"0","pretest_discrimination","0","1","i-y-u_step_5-step_3.wav","g","1935","1","1501"
"33.3333333333","pretest_discrimination","1","2","i-y-u_step3-step3.wav","g","1747","1","1501"
"50","pretest_discrimination","1","3","i-y-u_step4-step4.wav","g","1307","1","1501"
"40","pretest_discrimination","0","4","i-y-u_step_4-step_2.wav","g","441","1","1501"
"50","pretest_discrimination","1","5","i-y-u_step7-step7.wav","g","1574","1","1501"
"57.1428571429","pretest_discrimination","1","6","i-y-u_step4-step4.wav","g","876","1","1501"
"50","pretest_discrimination","0","7","i-y-u_step_4-step_2.wav","g","290","1","1501"
"44.4444444444","pretest_discrimination","0","8","i-y-u_step_3-step_1.wav","g","1771","1","1501"
"50","pretest_discrimination","1","9","i-y-u_step7-step7.wav","g","714","1","1501"
"45.4545454545","pretest_discrimination","0","10","i-y-u_step_4-step_2.wav","g","399","1","1501"
"50","pretest_discrimination","1","11","i-y-u_step3-step3.wav","g","246","1","1501"
"46.1538461538","pretest_discrimination","0","12","i-y-u_step_3-step_5.wav","g","2164","1","1501"
"50","pretest_discrimination","1","13","i-y-u_step3-step3.wav","g","628","1","1501"
"53.3333333333","pretest_discrimination","1","14","i-y-u_step2-step2.wav","g","438","1","1501"
"50","pretest_discrimination","0","15","i-y-u_step_6-step_4.wav","g","1685","1","1501"
"52.9411764706","pretest_discrimination","1","16","i-y-u_step4-step4.wav","g","708","1","1501"
"50","pretest_discrimination","0","17","i-y-u_step_3-step_1.wav","g","381","1","1501"
"52.6315789474","pretest_discrimination","1","18","i-y-u_step1-step1.wav","g","187","1","1501"
"55","pretest_discrimination","1","19","i-y-u_step1-step1.wav","g","122","1","1501"
"52.380952381","pretest_discrimination","0","20","i-y-u_step6-step6.wav","a","922","1","1501"
"54.5454545455","pretest_discrimination","1","21","i-y-u_step6-step6.wav","g","869","1","1501"
"52.1739130435","pretest_discrimination","0","22","i-y-u_step_6-step_4.wav","g","424","1","1501"
