accuracy,block,correct_response,count_logger,fname,response_response,response_time_response,session,subject_nr
0,pretest_discrimination,0,0,iyu_step_4-step_6.wav,a,3559,S3,3003
50,pretest_discrimination,1,1,iyu_step_7-step_7.wav,a,3612,S3,3003
66.66666667,pretest_discrimination,1,2,iyu_step_6-step_4.wav,g,1027,S3,3003
75,pretest_discrimination,1,3,iyu_step_6-step_6.wav,a,846,S3,3003
80,pretest_discrimination,1,4,iyu_step_6-step_4.wav,g,533,S3,3003
83.33333333,pretest_discrimination,1,5,iyu_step_1-step_1.wav,a,749,S3,3003
85.71428571,pretest_discrimination,1,6,iyu_step_6-step_6.wav,a,762,S3,3003
87.5,pretest_discrimination,1,7,iyu_step_5-step_3.wav,g,624,S3,3003
88.88888889,pretest_discrimination,1,8,iyu_step_6-step_4.wav,g,621,S3,3003
90,pretest_discrimination,1,9,iyu_step_4-step_4.wav,a,1036,S3,3003
90.90909091,pretest_discrimination,1,10,iyu_step_5-step_3.wav,g,3206,S3,3003
91.66666667,pretest_discrimination,1,11,iyu_step_6-step_6.wav,a,902,S3,3003
92.30769231,pretest_discrimination,1,12,iyu_step_5-step_7.wav,g,1630,S3,3003
92.85714286,pretest_discrimination,1,13,iyu_step_4-step_6.wav,g,1255,S3,3003
93.33333333,pretest_discrimination,1,14,iyu_step_4-step_6.wav,g,2023,S3,3003
93.75,pretest_discrimination,1,15,iyu_step_5-step_7.wav,g,1315,S3,3003
94.11764706,pretest_discrimination,1,16,iyu_step_6-step_6.wav,a,553,S3,3003
94.44444444,pretest_discrimination,1,17,iyu_step_3-step_5.wav,g,3440,S3,3003
94.73684211,pretest_discrimination,1,18,iyu_step_4-step_6.wav,g,2607,S3,3003
95,pretest_discrimination,1,19,iyu_step_7-step_5.wav,g,1135,S3,3003
95.23809524,pretest_discrimination,1,20,iyu_step_3-step_5.wav,g,1938,S3,3003
95.45454545,pretest_discrimination,1,21,iyu_step_4-step_4.wav,a,1026,S3,3003
95.65217391,pretest_discrimination,1,22,iyu_step_3-step_1.wav,g,1951,S3,3003
95.83333333,pretest_discrimination,1,23,iyu_step_7-step_7.wav,a,661,S3,3003
96,pretest_discrimination,1,24,iyu_step_3-step_1.wav,g,1337,S3,3003
92.30769231,pretest_discrimination,0,25,iyu_step_3-step_1.wav,a,5539,S3,3003
88.88888889,pretest_discrimination,0,26,iyu_step_3-step_1.wav,a,1387,S3,3003
85.71428571,pretest_discrimination,0,27,iyu_step_3-step_1.wav,a,1448,S3,3003
86.20689655,pretest_discrimination,1,28,iyu_step_2-step_4.wav,g,1385,S3,3003
83.33333333,pretest_discrimination,0,29,iyu_step_1-step_3.wav,a,1094,S3,3003
83.87096774,pretest_discrimination,1,30,iyu_step_4-step_2.wav,g,1292,S3,3003
84.375,pretest_discrimination,1,31,iyu_step_7-step_7.wav,a,727,S3,3003
84.84848485,pretest_discrimination,1,32,iyu_step_4-step_6.wav,g,878,S3,3003
85.29411765,pretest_discrimination,1,33,iyu_step_7-step_7.wav,a,500,S3,3003
85.71428571,pretest_discrimination,1,34,iyu_step_5-step_5.wav,a,921,S3,3003
86.11111111,pretest_discrimination,1,35,iyu_step_5-step_3.wav,g,937,S3,3003
83.78378378,pretest_discrimination,0,36,iyu_step_4-step_2.wav,None,6000,S3,3003
84.21052632,pretest_discrimination,1,37,iyu_step_6-step_4.wav,g,1872,S3,3003
84.61538462,pretest_discrimination,1,38,iyu_step_2-step_2.wav,a,771,S3,3003
85,pretest_discrimination,1,39,iyu_step_5-step_5.wav,a,785,S3,3003
85.36585366,pretest_discrimination,1,40,iyu_step_3-step_5.wav,g,827,S3,3003
83.33333333,pretest_discrimination,0,41,iyu_step_3-step_5.wav,a,611,S3,3003
83.72093023,pretest_discrimination,1,42,iyu_step_4-step_2.wav,g,1761,S3,3003
81.81818182,pretest_discrimination,0,43,iyu_step_6-step_4.wav,a,1555,S3,3003
82.22222222,pretest_discrimination,1,44,iyu_step_5-step_3.wav,g,942,S3,3003
82.60869565,pretest_discrimination,1,45,iyu_step_7-step_5.wav,g,832,S3,3003
80.85106383,pretest_discrimination,0,46,iyu_step_4-step_2.wav,None,6000,S3,3003
81.25,pretest_discrimination,1,47,iyu_step_7-step_7.wav,a,760,S3,3003
81.63265306,pretest_discrimination,1,48,iyu_step_4-step_4.wav,a,1535,S3,3003
82,pretest_discrimination,1,49,iyu_step_7-step_7.wav,a,835,S3,3003
82.35294118,pretest_discrimination,1,50,iyu_step_1-step_3.wav,g,1322,S3,3003
82.69230769,pretest_discrimination,1,51,iyu_step_5-step_5.wav,a,1060,S3,3003
81.13207547,pretest_discrimination,0,52,iyu_step_3-step_1.wav,a,1477,S3,3003
79.62962963,pretest_discrimination,0,53,iyu_step_1-step_1.wav,g,2129,S3,3003
80,pretest_discrimination,1,54,iyu_step_2-step_2.wav,a,1199,S3,3003
80.35714286,pretest_discrimination,1,55,iyu_step_1-step_1.wav,a,711,S3,3003
80.70175439,pretest_discrimination,1,56,iyu_step_4-step_6.wav,g,1307,S3,3003
81.03448276,pretest_discrimination,1,57,iyu_step_1-step_1.wav,a,1804,S3,3003
81.3559322,pretest_discrimination,1,58,iyu_step_2-step_4.wav,g,861,S3,3003
81.66666667,pretest_discrimination,1,59,iyu_step_3-step_3.wav,a,742,S3,3003
81.96721311,pretest_discrimination,1,60,iyu_step_5-step_3.wav,g,2413,S3,3003
82.25806452,pretest_discrimination,1,61,iyu_step_2-step_4.wav,g,613,S3,3003
82.53968254,pretest_discrimination,1,62,iyu_step_3-step_1.wav,g,992,S3,3003
82.8125,pretest_discrimination,1,63,iyu_step_5-step_3.wav,g,702,S3,3003
83.07692308,pretest_discrimination,1,64,iyu_step_6-step_6.wav,a,553,S3,3003
83.33333333,pretest_discrimination,1,65,iyu_step_3-step_5.wav,g,1395,S3,3003
83.58208955,pretest_discrimination,1,66,iyu_step_1-step_1.wav,a,798,S3,3003
83.82352941,pretest_discrimination,1,67,iyu_step_4-step_4.wav,a,2294,S3,3003
84.05797101,pretest_discrimination,1,68,iyu_step_6-step_6.wav,a,726,S3,3003
84.28571429,pretest_discrimination,1,69,iyu_step_5-step_7.wav,g,1124,S3,3003
84.50704225,pretest_discrimination,1,70,iyu_step_3-step_3.wav,a,1752,S3,3003
84.72222222,pretest_discrimination,1,71,iyu_step_6-step_6.wav,a,740,S3,3003
84.93150685,pretest_discrimination,1,72,iyu_step_1-step_3.wav,g,566,S3,3003
85.13513514,pretest_discrimination,1,73,iyu_step_7-step_5.wav,g,1108,S3,3003
85.33333333,pretest_discrimination,1,74,iyu_step_2-step_4.wav,g,1119,S3,3003
85.52631579,pretest_discrimination,1,75,iyu_step_4-step_4.wav,a,544,S3,3003
85.71428571,pretest_discrimination,1,76,iyu_step_5-step_7.wav,g,585,S3,3003
85.8974359,pretest_discrimination,1,77,iyu_step_5-step_5.wav,a,2168,S3,3003
86.07594937,pretest_discrimination,1,78,iyu_step_2-step_4.wav,g,1577,S3,3003
86.25,pretest_discrimination,1,79,iyu_step_3-step_3.wav,a,462,S3,3003
86.41975309,pretest_discrimination,1,80,iyu_step_3-step_5.wav,g,1872,S3,3003
86.58536585,pretest_discrimination,1,81,iyu_step_2-step_2.wav,a,2249,S3,3003
86.74698795,pretest_discrimination,1,82,iyu_step_4-step_4.wav,a,1035,S3,3003
86.9047619,pretest_discrimination,1,83,iyu_step_5-step_5.wav,a,612,S3,3003
87.05882353,pretest_discrimination,1,84,iyu_step_2-step_2.wav,a,737,S3,3003
87.20930233,pretest_discrimination,1,85,iyu_step_5-step_3.wav,g,883,S3,3003
87.35632184,pretest_discrimination,1,86,iyu_step_3-step_1.wav,g,819,S3,3003
87.5,pretest_discrimination,1,87,iyu_step_5-step_7.wav,g,600,S3,3003
87.64044944,pretest_discrimination,1,88,iyu_step_2-step_4.wav,g,1334,S3,3003
87.77777778,pretest_discrimination,1,89,iyu_step_3-step_3.wav,a,457,S3,3003
87.91208791,pretest_discrimination,1,90,iyu_step_2-step_4.wav,g,400,S3,3003
88.04347826,pretest_discrimination,1,91,iyu_step_2-step_2.wav,a,798,S3,3003
