"acc","block","correct_response","count_logger","fname","response_response","response_time_response","session_number","subject_nr"
"0","pretest_discrimination","0","0","i-y-u_step_4-step_2.wav","g","2912","2","102"
"50","pretest_discrimination","1","1","i-y-u_step_5-step_3.wav","a","2011","2","102"
"66.6666666667","pretest_discrimination","1","2","i-y-u_step1-step1.wav","g","1034","2","102"
"75","pretest_discrimination","1","3","i-y-u_step3-step3.wav","g","1154","2","102"
"80","pretest_discrimination","1","4","i-y-u_step3-step3.wav","g","1505","2","102"
"83.3333333333","pretest_discrimination","1","5","i-y-u_step_1-step_3.wav","a","1110","2","102"
"71.4285714286","pretest_discrimination","0","6","i-y-u_step_6-step_4.wav","g","990","2","102"
"75","pretest_discrimination","1","7","i-y-u_step2-step2.wav","g","1259","2","102"
"77.7777777778","pretest_discrimination","1","8","i-y-u_step_3-step_5.wav","a","816","2","102"
"80","pretest_discrimination","1","9","i-y-u_step6-step6.wav","g","880","2","102"
"72.7272727273","pretest_discrimination","0","10","i-y-u_step_2-step_4.wav","g","2751","2","102"
"75","pretest_discrimination","1","11","i-y-u_step_5-step_7.wav","a","2159","2","102"
"76.9230769231","pretest_discrimination","1","12","i-y-u_step_3-step_1.wav","a","1315","2","102"
"78.5714285714","pretest_discrimination","1","13","i-y-u_step3-step3.wav","g","1199","2","102"
"80","pretest_discrimination","1","14","i-y-u_step_5-step_7.wav","a","1011","2","102"
"81.25","pretest_discrimination","1","15","i-y-u_step_1-step_3.wav","a","2380","2","102"
"82.3529411765","pretest_discrimination","1","16","i-y-u_step_4-step_6.wav","a","879","2","102"
"83.3333333333","pretest_discrimination","1","17","i-y-u_step1-step1.wav","g","808","2","102"
"84.2105263158","pretest_discrimination","1","18","i-y-u_step2-step2.wav","g","1309","2","102"
"85","pretest_discrimination","1","19","i-y-u_step_6-step_4.wav","a","2491","2","102"
"85.7142857143","pretest_discrimination","1","20","i-y-u_step4-step4.wav","g","2185","2","102"
"86.3636363636","pretest_discrimination","1","21","i-y-u_step_5-step_3.wav","a","2241","2","102"
"86.9565217391","pretest_discrimination","1","22","i-y-u_step_7-step_5.wav","a","2316","2","102"
"87.5","pretest_discrimination","1","23","i-y-u_step2-step2.wav","g","917","2","102"
"88","pretest_discrimination","1","24","i-y-u_step_6-step_4.wav","a","1460","2","102"
"84.6153846154","pretest_discrimination","0","25","i-y-u_step_7-step_5.wav","g","1396","2","102"
"85.1851851852","pretest_discrimination","1","26","i-y-u_step_5-step_3.wav","a","1633","2","102"
"85.7142857143","pretest_discrimination","1","27","i-y-u_step3-step3.wav","g","967","2","102"
"86.2068965517","pretest_discrimination","1","28","i-y-u_step5-step5.wav","g","1181","2","102"
"86.6666666667","pretest_discrimination","1","29","i-y-u_step_4-step_6.wav","a","1561","2","102"
