"acc","block","correct_response","count_logger","fname","response_response","response_time_response","session_number","subject_nr"
"100","pretest_discrimination","1","0","i-y-u_step_3-step_5.wav","g","390","3","26"
"100","pretest_discrimination","1","1","i-y-u_step3-step3.wav","a","172","3","26"
"100","pretest_discrimination","1","2","i-y-u_step1-step1.wav","a","223","3","26"
"100","pretest_discrimination","1","3","i-y-u_step1-step1.wav","a","395","3","26"
"80","pretest_discrimination","0","4","i-y-u_step_5-step_3.wav","a","524","3","26"
"83.3333333333","pretest_discrimination","1","5","i-y-u_step6-step6.wav","a","64","3","26"
"71.4285714286","pretest_discrimination","0","6","i-y-u_step4-step4.wav","g","74","3","26"
"75","pretest_discrimination","1","7","i-y-u_step_6-step_4.wav","g","449","3","26"
"77.7777777778","pretest_discrimination","1","8","i-y-u_step_3-step_5.wav","g","779","3","26"
"70","pretest_discrimination","0","9","i-y-u_step_1-step_3.wav","a","201","3","26"
"63.6363636364","pretest_discrimination","0","10","i-y-u_step_4-step_6.wav","a","340","3","26"
"66.6666666667","pretest_discrimination","1","11","i-y-u_step_3-step_1.wav","g","524","3","26"
"61.5384615385","pretest_discrimination","0","12","i-y-u_step_6-step_4.wav","a","1404","3","26"
"64.2857142857","pretest_discrimination","1","13","i-y-u_step7-step7.wav","a","263","3","26"
"66.6666666667","pretest_discrimination","1","14","i-y-u_step1-step1.wav","a","351","3","26"
"68.75","pretest_discrimination","1","15","i-y-u_step5-step5.wav","a","1274","3","26"
"64.7058823529","pretest_discrimination","0","16","i-y-u_step_5-step_7.wav","a","324","3","26"
"66.6666666667","pretest_discrimination","1","17","i-y-u_step_5-step_3.wav","g","58","3","26"
"68.4210526316","pretest_discrimination","1","18","i-y-u_step_7-step_5.wav","g","340","3","26"
"70","pretest_discrimination","1","19","i-y-u_step_4-step_2.wav","g","736","3","26"
"71.4285714286","pretest_discrimination","1","20","i-y-u_step_3-step_1.wav","g","577","3","26"
"72.7272727273","pretest_discrimination","1","21","i-y-u_step_6-step_4.wav","g","832","3","26"
"69.5652173913","pretest_discrimination","0","22","i-y-u_step_2-step_4.wav","a","416","3","26"
"70.8333333333","pretest_discrimination","1","23","i-y-u_step3-step3.wav","a","751","3","26"
"72","pretest_discrimination","1","24","i-y-u_step6-step6.wav","a","274","3","26"
"73.0769230769","pretest_discrimination","1","25","i-y-u_step_5-step_3.wav","g","145","3","26"
"74.0740740741","pretest_discrimination","1","26","i-y-u_step_4-step_2.wav","g","165","3","26"
"75","pretest_discrimination","1","27","i-y-u_step1-step1.wav","a","97","3","26"
"75.8620689655","pretest_discrimination","1","28","i-y-u_step3-step3.wav","a","310","3","26"
"73.3333333333","pretest_discrimination","0","29","i-y-u_step_4-step_6.wav","a","124","3","26"
"74.1935483871","pretest_discrimination","1","30","i-y-u_step2-step2.wav","a","321","3","26"
"75","pretest_discrimination","1","31","i-y-u_step2-step2.wav","a","281","3","26"
"75.7575757576","pretest_discrimination","1","32","i-y-u_step4-step4.wav","a","367","3","26"
"76.4705882353","pretest_discrimination","1","33","i-y-u_step_4-step_2.wav","g","215","3","26"
"77.1428571429","pretest_discrimination","1","34","i-y-u_step_3-step_1.wav","g","385","3","26"
"77.7777777778","pretest_discrimination","1","35","i-y-u_step_2-step_4.wav","g","428","3","26"
"75.6756756757","pretest_discrimination","0","36","i-y-u_step4-step4.wav","g","739","3","26"
"76.3157894737","pretest_discrimination","1","37","i-y-u_step7-step7.wav","a","444","3","26"
"76.9230769231","pretest_discrimination","1","38","i-y-u_step_4-step_6.wav","g","374","3","26"
"77.5","pretest_discrimination","1","39","i-y-u_step_6-step_4.wav","g","782","3","26"
"75.6097560976","pretest_discrimination","0","40","i-y-u_step_7-step_5.wav","a","356","3","26"
"76.1904761905","pretest_discrimination","1","41","i-y-u_step2-step2.wav","a","527","3","26"
"76.7441860465","pretest_discrimination","1","42","i-y-u_step_5-step_3.wav","g","520","3","26"
"77.2727272727","pretest_discrimination","1","43","i-y-u_step_1-step_3.wav","g","959","3","26"
"77.7777777778","pretest_discrimination","1","44","i-y-u_step_6-step_4.wav","g","669","3","26"
"78.2608695652","pretest_discrimination","1","45","i-y-u_step_5-step_3.wav","g","165","3","26"
"78.7234042553","pretest_discrimination","1","46","i-y-u_step3-step3.wav","a","157","3","26"
"77.0833333333","pretest_discrimination","0","47","i-y-u_step_5-step_7.wav","a","302","3","26"
"77.5510204082","pretest_discrimination","1","48","i-y-u_step_3-step_5.wav","g","355","3","26"
"76","pretest_discrimination","0","49","i-y-u_step_3-step_1.wav","a","218","3","26"
"74.5098039216","pretest_discrimination","0","50","i-y-u_step_7-step_5.wav","a","270","3","26"
"75","pretest_discrimination","1","51","i-y-u_step_1-step_3.wav","g","431","3","26"
"75.4716981132","pretest_discrimination","1","52","i-y-u_step_2-step_4.wav","g","257","3","26"
"75.9259259259","pretest_discrimination","1","53","i-y-u_step_2-step_4.wav","g","169","3","26"
"76.3636363636","pretest_discrimination","1","54","i-y-u_step4-step4.wav","a","51","3","26"
"76.7857142857","pretest_discrimination","1","55","i-y-u_step1-step1.wav","a","373","3","26"
"77.1929824561","pretest_discrimination","1","56","i-y-u_step5-step5.wav","a","402","3","26"
"77.5862068966","pretest_discrimination","1","57","i-y-u_step7-step7.wav","a","437","3","26"
"76.2711864407","pretest_discrimination","0","58","i-y-u_step_1-step_3.wav","a","470","3","26"
"75","pretest_discrimination","0","59","i-y-u_step_1-step_3.wav","a","398","3","26"
"75.4098360656","pretest_discrimination","1","60","i-y-u_step_5-step_7.wav","g","500","3","26"
"75.8064516129","pretest_discrimination","1","61","i-y-u_step_3-step_1.wav","g","301","3","26"
"76.1904761905","pretest_discrimination","1","62","i-y-u_step2-step2.wav","a","151","3","26"
"76.5625","pretest_discrimination","1","63","i-y-u_step_3-step_1.wav","g","46","3","26"
"75.3846153846","pretest_discrimination","0","64","i-y-u_step_5-step_3.wav","a","397","3","26"
"74.2424242424","pretest_discrimination","0","65","i-y-u_step_4-step_6.wav","a","83","3","26"
"73.1343283582","pretest_discrimination","0","66","i-y-u_step_7-step_5.wav","a","52","3","26"
"72.0588235294","pretest_discrimination","0","67","i-y-u_step_5-step_7.wav","a","68","3","26"
"72.4637681159","pretest_discrimination","1","68","i-y-u_step_2-step_4.wav","g","71","3","26"
"72.8571428571","pretest_discrimination","1","69","i-y-u_step_3-step_5.wav","g","154","3","26"
"73.2394366197","pretest_discrimination","1","70","i-y-u_step_7-step_5.wav","g","310","3","26"
"73.6111111111","pretest_discrimination","1","71","i-y-u_step5-step5.wav","a","126","3","26"
"73.9726027397","pretest_discrimination","1","72","i-y-u_step_2-step_4.wav","g","119","3","26"
"72.972972973","pretest_discrimination","0","73","i-y-u_step_3-step_1.wav","a","129","3","26"
"73.3333333333","pretest_discrimination","1","74","i-y-u_step4-step4.wav","a","478","3","26"
"73.6842105263","pretest_discrimination","1","75","i-y-u_step_7-step_5.wav","g","363","3","26"
"72.7272727273","pretest_discrimination","0","76","i-y-u_step4-step4.wav","g","1664","3","26"
"73.0769230769","pretest_discrimination","1","77","i-y-u_step6-step6.wav","a","567","3","26"
"73.417721519","pretest_discrimination","1","78","i-y-u_step_4-step_2.wav","g","413","3","26"
"72.5","pretest_discrimination","0","79","i-y-u_step_5-step_7.wav","a","131","3","26"
