accuracy,block,correct_response,count_logger,fname,response_response,response_time_response,session_number,subject_nr
100,pretest_discrimination,1,0,iyu_step_2-step_2.wav,g,3305,S3,1103
100,pretest_discrimination,1,1,iyu_step_1-step_1.wav,g,275,S3,1103
100,pretest_discrimination,1,2,iyu_step_3-step_5.wav,a,533,S3,1103
100,pretest_discrimination,1,3,iyu_step_2-step_2.wav,g,187,S3,1103
100,pretest_discrimination,1,4,iyu_step_6-step_6.wav,g,3374,S3,1103
100,pretest_discrimination,1,5,iyu_step_5-step_5.wav,g,214,S3,1103
100,pretest_discrimination,1,6,iyu_step_3-step_1.wav,a,303,S3,1103
100,pretest_discrimination,1,7,iyu_step_1-step_1.wav,g,226,S3,1103
100,pretest_discrimination,1,8,iyu_step_4-step_6.wav,a,179,S3,1103
100,pretest_discrimination,1,9,iyu_step_7-step_7.wav,g,465,S3,1103
100,pretest_discrimination,1,10,iyu_step_2-step_4.wav,a,271,S3,1103
100,pretest_discrimination,1,11,iyu_step_3-step_5.wav,a,489,S3,1103
92.30769231,pretest_discrimination,0,12,iyu_step_7-step_7.wav,a,5101,S3,1103
92.85714286,pretest_discrimination,1,13,iyu_step_3-step_1.wav,a,415,S3,1103
93.33333333,pretest_discrimination,1,14,iyu_step_3-step_1.wav,a,260,S3,1103
93.75,pretest_discrimination,1,15,iyu_step_6-step_6.wav,g,318,S3,1103
94.11764706,pretest_discrimination,1,16,iyu_step_7-step_7.wav,g,654,S3,1103
94.44444444,pretest_discrimination,1,17,iyu_step_2-step_4.wav,a,397,S3,1103
94.73684211,pretest_discrimination,1,18,iyu_step_3-step_3.wav,g,607,S3,1103
90,pretest_discrimination,0,19,iyu_step_7-step_5.wav,g,1107,S3,1103
90.47619048,pretest_discrimination,1,20,iyu_step_5-step_5.wav,g,148,S3,1103
90.90909091,pretest_discrimination,1,21,iyu_step_5-step_5.wav,g,155,S3,1103
91.30434783,pretest_discrimination,1,22,iyu_step_3-step_1.wav,a,161,S3,1103
91.66666667,pretest_discrimination,1,23,iyu_step_1-step_3.wav,a,524,S3,1103
92,pretest_discrimination,1,24,iyu_step_4-step_6.wav,a,470,S3,1103
92.30769231,pretest_discrimination,1,25,iyu_step_5-step_7.wav,a,741,S3,1103
92.59259259,pretest_discrimination,1,26,iyu_step_1-step_1.wav,g,93,S3,1103
89.28571429,pretest_discrimination,0,27,iyu_step_5-step_3.wav,g,46,S3,1103
86.20689655,pretest_discrimination,0,28,iyu_step_6-step_4.wav,g,187,S3,1103
86.66666667,pretest_discrimination,1,29,iyu_step_3-step_3.wav,g,111,S3,1103
83.87096774,pretest_discrimination,0,30,iyu_step_7-step_5.wav,g,246,S3,1103
84.375,pretest_discrimination,1,31,iyu_step_7-step_7.wav,g,144,S3,1103
84.84848485,pretest_discrimination,1,32,iyu_step_5-step_3.wav,a,1245,S3,1103
85.29411765,pretest_discrimination,1,33,iyu_step_1-step_1.wav,g,483,S3,1103
85.71428571,pretest_discrimination,1,34,iyu_step_6-step_4.wav,a,322,S3,1103
86.11111111,pretest_discrimination,1,35,iyu_step_1-step_3.wav,a,156,S3,1103
86.48648649,pretest_discrimination,1,36,iyu_step_6-step_4.wav,a,291,S3,1103
86.84210526,pretest_discrimination,1,37,iyu_step_7-step_5.wav,a,177,S3,1103
87.17948718,pretest_discrimination,1,38,iyu_step_4-step_6.wav,a,176,S3,1103
87.5,pretest_discrimination,1,39,iyu_step_7-step_5.wav,a,371,S3,1103
87.80487805,pretest_discrimination,1,40,iyu_step_7-step_5.wav,a,287,S3,1103
88.0952381,pretest_discrimination,1,41,iyu_step_3-step_1.wav,a,134,S3,1103
88.37209302,pretest_discrimination,1,42,iyu_step_6-step_4.wav,a,427,S3,1103
88.63636364,pretest_discrimination,1,43,iyu_step_2-step_4.wav,a,429,S3,1103
88.88888889,pretest_discrimination,1,44,iyu_step_1-step_1.wav,g,245,S3,1103
89.13043478,pretest_discrimination,1,45,iyu_step_2-step_4.wav,a,170,S3,1103
89.36170213,pretest_discrimination,1,46,iyu_step_4-step_2.wav,a,163,S3,1103
89.58333333,pretest_discrimination,1,47,iyu_step_3-step_5.wav,a,168,S3,1103
89.79591837,pretest_discrimination,1,48,iyu_step_5-step_7.wav,a,1000,S3,1103
90,pretest_discrimination,1,49,iyu_step_2-step_4.wav,a,296,S3,1103
90.19607843,pretest_discrimination,1,50,iyu_step_3-step_1.wav,a,544,S3,1103
90.38461538,pretest_discrimination,1,51,iyu_step_2-step_4.wav,a,214,S3,1103
90.56603774,pretest_discrimination,1,52,iyu_step_4-step_4.wav,g,170,S3,1103
90.74074074,pretest_discrimination,1,53,iyu_step_2-step_2.wav,g,122,S3,1103
90.90909091,pretest_discrimination,1,54,iyu_step_5-step_3.wav,a,349,S3,1103
91.07142857,pretest_discrimination,1,55,iyu_step_3-step_3.wav,g,450,S3,1103
