"acc","block","correct_response","count_logger","fname","response_response","response_time_response","subject_nr"
"100","training_vowel","1","0","vowelstep3.wav","a","1371","904"
"50","training_vowel","0","1","vowelstep5.wav","a","278","904"
"66.6666666667","training_vowel","1","2","vowelstep1.wav","a","79","904"
"75","training_vowel","1","3","vowelstep7.wav","g","71","904"
"80","training_vowel","1","4","vowelstep3.wav","a","284","904"
"66.6666666667","training_vowel","0","5","vowelstep5.wav","a","656","904"
"71.4285714286","training_vowel","1","6","vowelstep3.wav","a","410","904"
"75","training_vowel","1","7","vowelstep1.wav","a","494","904"
"77.7777777778","training_vowel","1","8","vowelstep5.wav","g","419","904"
"80","training_vowel","1","9","vowelstep5.wav","g","429","904"
"81.8181818182","training_vowel","1","10","vowelstep3.wav","a","386","904"
"83.3333333333","training_vowel","1","11","vowelstep5.wav","g","347","904"
"76.9230769231","training_vowel","0","12","vowelstep5.wav","a","503","904"
"71.4285714286","training_vowel","0","13","vowelstep5.wav","a","173","904"
"73.3333333333","training_vowel","1","14","vowelstep7.wav","g","600","904"
"75","training_vowel","1","15","vowelstep1.wav","a","283","904"
"76.4705882353","training_vowel","1","16","vowelstep3.wav","a","571","904"
"77.7777777778","training_vowel","1","17","vowelstep5.wav","g","529","904"
"78.9473684211","training_vowel","1","18","vowelstep3.wav","a","295","904"
"80","training_vowel","1","19","vowelstep7.wav","g","287","904"
"80.9523809524","training_vowel","1","20","vowelstep3.wav","a","303","904"
"81.8181818182","training_vowel","1","21","vowelstep3.wav","a","229","904"
"82.6086956522","training_vowel","1","22","vowelstep1.wav","a","417","904"
"83.3333333333","training_vowel","1","23","vowelstep7.wav","g","360","904"
"84","training_vowel","1","24","vowelstep5.wav","g","308","904"
"80.7692307692","training_vowel","0","25","vowelstep5.wav","a","334","904"
"77.7777777778","training_vowel","0","26","vowelstep5.wav","a","1317","904"
"78.5714285714","training_vowel","1","27","vowelstep7.wav","g","440","904"
"79.3103448276","training_vowel","1","28","vowelstep5.wav","g","3016","904"
"80","training_vowel","1","29","vowelstep1.wav","a","470","904"
"80.6451612903","training_vowel","1","30","vowelstep1.wav","a","296","904"
"81.25","training_vowel","1","31","vowelstep1.wav","a","504","904"
"78.7878787879","training_vowel","0","32","vowelstep3.wav","g","334","904"
"79.4117647059","training_vowel","1","33","vowelstep5.wav","g","287","904"
"80","training_vowel","1","34","vowelstep5.wav","g","403","904"
"80.5555555556","training_vowel","1","35","vowelstep7.wav","g","352","904"
"81.0810810811","training_vowel","1","36","vowelstep7.wav","g","333","904"
"81.5789473684","training_vowel","1","37","vowelstep3.wav","a","475","904"
"82.0512820513","training_vowel","1","38","vowelstep3.wav","a","447","904"
"82.5","training_vowel","1","39","vowelstep1.wav","a","262","904"
"82.9268292683","training_vowel","1","40","vowelstep1.wav","a","240","904"
"83.3333333333","training_vowel","1","41","vowelstep5.wav","g","298","904"
"83.7209302326","training_vowel","1","42","vowelstep1.wav","a","564","904"
"84.0909090909","training_vowel","1","43","vowelstep5.wav","g","343","904"
"84.4444444444","training_vowel","1","44","vowelstep1.wav","a","1085","904"
"84.7826086957","training_vowel","1","45","vowelstep1.wav","a","227","904"
