"acc","block","correct_response","count_logger","fname","response_response","response_time_response","session_number","subject_nr"
"100","pretest_discrimination","1","0","i-y-u_step_5-step_3.wav","g","5455","3","1003"
"100","pretest_discrimination","1","1","i-y-u_step6-step6.wav","a","837","3","1003"
"66.6666666667","pretest_discrimination","0","2","i-y-u_step_3-step_5.wav","a","688","3","1003"
"75","pretest_discrimination","1","3","i-y-u_step_5-step_7.wav","g","726","3","1003"
"80","pretest_discrimination","1","4","i-y-u_step_1-step_3.wav","g","222","3","1003"
"83.3333333333","pretest_discrimination","1","5","i-y-u_step3-step3.wav","a","896","3","1003"
"85.7142857143","pretest_discrimination","1","6","i-y-u_step6-step6.wav","a","416","3","1003"
"87.5","pretest_discrimination","1","7","i-y-u_step_4-step_2.wav","g","290","3","1003"
"88.8888888889","pretest_discrimination","1","8","i-y-u_step5-step5.wav","a","794","3","1003"
"80","pretest_discrimination","0","9","i-y-u_step3-step3.wav","g","712","3","1003"
"81.8181818182","pretest_discrimination","1","10","i-y-u_step7-step7.wav","a","374","3","1003"
"83.3333333333","pretest_discrimination","1","11","i-y-u_step5-step5.wav","a","600","3","1003"
"76.9230769231","pretest_discrimination","0","12","i-y-u_step_4-step_6.wav","a","753","3","1003"
"78.5714285714","pretest_discrimination","1","13","i-y-u_step1-step1.wav","a","1706","3","1003"
"73.3333333333","pretest_discrimination","0","14","i-y-u_step_5-step_7.wav","a","350","3","1003"
"68.75","pretest_discrimination","0","15","i-y-u_step_7-step_5.wav","a","693","3","1003"
"64.7058823529","pretest_discrimination","0","16","i-y-u_step_5-step_3.wav","a","834","3","1003"
"61.1111111111","pretest_discrimination","0","17","i-y-u_step2-step2.wav","g","928","3","1003"
"57.8947368421","pretest_discrimination","0","18","i-y-u_step_3-step_1.wav","a","1399","3","1003"
"60","pretest_discrimination","1","19","i-y-u_step5-step5.wav","a","264","3","1003"
"57.1428571429","pretest_discrimination","0","20","i-y-u_step_4-step_2.wav","a","370","3","1003"
"54.5454545455","pretest_discrimination","0","21","i-y-u_step_4-step_6.wav","a","324","3","1003"
"56.5217391304","pretest_discrimination","1","22","i-y-u_step6-step6.wav","a","1371","3","1003"
"54.1666666667","pretest_discrimination","0","23","i-y-u_step_7-step_5.wav","a","354","3","1003"
"56","pretest_discrimination","1","24","i-y-u_step_5-step_3.wav","g","1698","3","1003"
"53.8461538462","pretest_discrimination","0","25","i-y-u_step_7-step_5.wav","a","223","3","1003"
"51.8518518519","pretest_discrimination","0","26","i-y-u_step2-step2.wav","g","1721","3","1003"
"53.5714285714","pretest_discrimination","1","27","i-y-u_step_3-step_1.wav","g","1183","3","1003"
"51.724137931","pretest_discrimination","0","28","i-y-u_step_7-step_5.wav","a","26","3","1003"
"50","pretest_discrimination","0","29","i-y-u_step_2-step_4.wav","a","534","3","1003"
"51.6129032258","pretest_discrimination","1","30","i-y-u_step6-step6.wav","a","632","3","1003"
"53.125","pretest_discrimination","1","31","i-y-u_step6-step6.wav","a","138","3","1003"
"51.5151515152","pretest_discrimination","0","32","i-y-u_step_5-step_7.wav","a","234","3","1003"
"50","pretest_discrimination","0","33","i-y-u_step_3-step_1.wav","a","218","3","1003"
"48.5714285714","pretest_discrimination","0","34","i-y-u_step_1-step_3.wav","a","244","3","1003"
