acc,block,correct_response,count_logger,fname,response_response,response_time_response,session_number,subject_nr
0,pretest_discrimination,0,0,i-y-u_step_4-step_6.wav,g,512,3,2703
50,pretest_discrimination,1,1,i-y-u_step4-step4.wav,g,440,3,2703
66.66666667,pretest_discrimination,1,2,i-y-u_step7-step7.wav,g,556,3,2703
75,pretest_discrimination,1,3,i-y-u_step3-step3.wav,g,538,3,2703
80,pretest_discrimination,1,4,i-y-u_step3-step3.wav,g,391,3,2703
66.66666667,pretest_discrimination,0,5,i-y-u_step_2-step_4.wav,g,721,3,2703
71.42857143,pretest_discrimination,1,6,i-y-u_step4-step4.wav,g,711,3,2703
75,pretest_discrimination,1,7,i-y-u_step_4-step_6.wav,a,569,3,2703
77.77777778,pretest_discrimination,1,8,i-y-u_step_4-step_6.wav,a,657,3,2703
70,pretest_discrimination,0,9,i-y-u_step1-step1.wav,a,869,3,2703
63.63636364,pretest_discrimination,0,10,i-y-u_step_1-step_3.wav,g,119,3,2703
66.66666667,pretest_discrimination,1,11,i-y-u_step_4-step_2.wav,a,779,3,2703
69.23076923,pretest_discrimination,1,12,i-y-u_step_3-step_1.wav,a,624,3,2703
64.28571429,pretest_discrimination,0,13,i-y-u_step5-step5.wav,a,1208,3,2703
60,pretest_discrimination,0,14,i-y-u_step_4-step_2.wav,g,469,3,2703
62.5,pretest_discrimination,1,15,i-y-u_step6-step6.wav,g,731,3,2703
64.70588235,pretest_discrimination,1,16,i-y-u_step5-step5.wav,g,582,3,2703
66.66666667,pretest_discrimination,1,17,i-y-u_step_5-step_7.wav,a,1230,3,2703
63.15789474,pretest_discrimination,0,18,i-y-u_step6-step6.wav,a,457,3,2703
60,pretest_discrimination,0,19,i-y-u_step_7-step_5.wav,g,590,3,2703
61.9047619,pretest_discrimination,1,20,i-y-u_step_4-step_2.wav,a,492,3,2703
59.09090909,pretest_discrimination,0,21,i-y-u_step5-step5.wav,a,589,3,2703
60.86956522,pretest_discrimination,1,22,i-y-u_step_3-step_5.wav,a,355,3,2703
62.5,pretest_discrimination,1,23,i-y-u_step_4-step_2.wav,a,644,3,2703
60,pretest_discrimination,0,24,i-y-u_step_7-step_5.wav,g,393,3,2703
61.53846154,pretest_discrimination,1,25,i-y-u_step_6-step_4.wav,a,389,3,2703
62.96296296,pretest_discrimination,1,26,i-y-u_step_4-step_6.wav,a,406,3,2703
64.28571429,pretest_discrimination,1,27,i-y-u_step_2-step_4.wav,a,331,3,2703
65.51724138,pretest_discrimination,1,28,i-y-u_step_4-step_6.wav,a,331,3,2703
66.66666667,pretest_discrimination,1,29,i-y-u_step7-step7.wav,g,608,3,2703
67.74193548,pretest_discrimination,1,30,i-y-u_step2-step2.wav,g,602,3,2703
65.625,pretest_discrimination,0,31,i-y-u_step1-step1.wav,a,608,3,2703
66.66666667,pretest_discrimination,1,32,i-y-u_step_5-step_3.wav,a,513,3,2703
67.64705882,pretest_discrimination,1,33,i-y-u_step6-step6.wav,g,401,3,2703
68.57142857,pretest_discrimination,1,34,i-y-u_step_1-step_3.wav,a,215,3,2703
69.44444444,pretest_discrimination,1,35,i-y-u_step6-step6.wav,g,422,3,2703
70.27027027,pretest_discrimination,1,36,i-y-u_step6-step6.wav,g,912,3,2703
71.05263158,pretest_discrimination,1,37,i-y-u_step_3-step_5.wav,a,166,3,2703
71.79487179,pretest_discrimination,1,38,i-y-u_step_2-step_4.wav,a,193,3,2703
72.5,pretest_discrimination,1,39,i-y-u_step_6-step_4.wav,a,798,3,2703
70.73170732,pretest_discrimination,0,40,i-y-u_step_1-step_3.wav,g,542,3,2703
71.42857143,pretest_discrimination,1,41,i-y-u_step6-step6.wav,g,593,3,2703
72.09302326,pretest_discrimination,1,42,i-y-u_step_5-step_7.wav,a,332,3,2703
70.45454545,pretest_discrimination,0,43,i-y-u_step3-step3.wav,a,914,3,2703
71.11111111,pretest_discrimination,1,44,i-y-u_step5-step5.wav,g,362,3,2703
71.73913043,pretest_discrimination,1,45,i-y-u_step_5-step_3.wav,a,271,3,2703
70.21276596,pretest_discrimination,0,46,i-y-u_step_5-step_7.wav,g,624,3,2703
70.83333333,pretest_discrimination,1,47,i-y-u_step_4-step_6.wav,a,546,3,2703
71.42857143,pretest_discrimination,1,48,i-y-u_step_2-step_4.wav,a,441,3,2703
70,pretest_discrimination,0,49,i-y-u_step_5-step_7.wav,g,413,3,2703
68.62745098,pretest_discrimination,0,50,i-y-u_step4-step4.wav,a,357,3,2703
69.23076923,pretest_discrimination,1,51,i-y-u_step_5-step_3.wav,a,539,3,2703
69.81132075,pretest_discrimination,1,52,i-y-u_step_2-step_4.wav,a,295,3,2703
70.37037037,pretest_discrimination,1,53,i-y-u_step2-step2.wav,g,751,3,2703
70.90909091,pretest_discrimination,1,54,i-y-u_step_4-step_2.wav,a,478,3,2703
71.42857143,pretest_discrimination,1,55,i-y-u_step7-step7.wav,g,600,3,2703
71.92982456,pretest_discrimination,1,56,i-y-u_step_4-step_2.wav,a,340,3,2703
72.4137931,pretest_discrimination,1,57,i-y-u_step_6-step_4.wav,a,438,3,2703
72.88135593,pretest_discrimination,1,58,i-y-u_step6-step6.wav,g,335,3,2703
73.33333333,pretest_discrimination,1,59,i-y-u_step_3-step_5.wav,a,195,3,2703
73.7704918,pretest_discrimination,1,60,i-y-u_step1-step1.wav,g,724,3,2703
74.19354839,pretest_discrimination,1,61,i-y-u_step4-step4.wav,g,571,3,2703
74.6031746,pretest_discrimination,1,62,i-y-u_step_1-step_3.wav,a,690,3,2703
75,pretest_discrimination,1,63,i-y-u_step_3-step_5.wav,a,373,3,2703
75.38461538,pretest_discrimination,1,64,i-y-u_step_2-step_4.wav,a,379,3,2703
74.24242424,pretest_discrimination,0,65,i-y-u_step_7-step_5.wav,g,441,3,2703
73.13432836,pretest_discrimination,0,66,i-y-u_step4-step4.wav,a,343,3,2703
73.52941176,pretest_discrimination,1,67,i-y-u_step_1-step_3.wav,a,1301,3,2703
73.91304348,pretest_discrimination,1,68,i-y-u_step2-step2.wav,g,1406,3,2703
74.28571429,pretest_discrimination,1,69,i-y-u_step_4-step_2.wav,a,423,3,2703
74.64788732,pretest_discrimination,1,70,i-y-u_step_3-step_1.wav,a,507,3,2703
75,pretest_discrimination,1,71,i-y-u_step7-step7.wav,g,353,3,2703
73.97260274,pretest_discrimination,0,72,i-y-u_step1-step1.wav,a,665,3,2703
72.97297297,pretest_discrimination,0,73,i-y-u_step2-step2.wav,a,895,3,2703
73.33333333,pretest_discrimination,1,74,i-y-u_step6-step6.wav,g,492,3,2703
73.68421053,pretest_discrimination,1,75,i-y-u_step6-step6.wav,g,551,3,2703
72.72727273,pretest_discrimination,0,76,i-y-u_step_3-step_1.wav,g,559,3,2703
73.07692308,pretest_discrimination,1,77,i-y-u_step5-step5.wav,g,662,3,2703
73.41772152,pretest_discrimination,1,78,i-y-u_step_7-step_5.wav,a,789,3,2703
72.5,pretest_discrimination,0,79,i-y-u_step_6-step_4.wav,g,417,3,2703
72.83950617,pretest_discrimination,1,80,i-y-u_step_7-step_5.wav,a,593,3,2703
73.17073171,pretest_discrimination,1,81,i-y-u_step7-step7.wav,g,391,3,2703
73.4939759,pretest_discrimination,1,82,i-y-u_step7-step7.wav,g,927,3,2703
73.80952381,pretest_discrimination,1,83,i-y-u_step_3-step_5.wav,a,224,3,2703
72.94117647,pretest_discrimination,0,84,i-y-u_step_7-step_5.wav,g,527,3,2703
73.25581395,pretest_discrimination,1,85,i-y-u_step_3-step_1.wav,a,640,3,2703
72.4137931,pretest_discrimination,0,86,i-y-u_step1-step1.wav,a,666,3,2703
72.72727273,pretest_discrimination,1,87,i-y-u_step2-step2.wav,g,1501,3,2703
73.03370787,pretest_discrimination,1,88,i-y-u_step_1-step_3.wav,a,737,3,2703
72.22222222,pretest_discrimination,0,89,i-y-u_step_5-step_7.wav,g,559,3,2703
72.52747253,pretest_discrimination,1,90,i-y-u_step_4-step_2.wav,a,636,3,2703
72.82608696,pretest_discrimination,1,91,i-y-u_step_4-step_2.wav,a,614,3,2703
72.04301075,pretest_discrimination,0,92,i-y-u_step_2-step_4.wav,g,1094,3,2703
72.34042553,pretest_discrimination,1,93,i-y-u_step_1-step_3.wav,a,476,3,2703
72.63157895,pretest_discrimination,1,94,i-y-u_step_1-step_3.wav,a,461,3,2703
71.875,pretest_discrimination,0,95,i-y-u_step_2-step_4.wav,g,498,3,2703
72.16494845,pretest_discrimination,1,96,i-y-u_step_1-step_3.wav,a,661,3,2703
72.44897959,pretest_discrimination,1,97,i-y-u_step_3-step_1.wav,a,438,3,2703
72.72727273,pretest_discrimination,1,98,i-y-u_step_3-step_1.wav,a,449,3,2703
72,pretest_discrimination,0,99,i-y-u_step_3-step_5.wav,g,263,3,2703
71.28712871,pretest_discrimination,0,100,i-y-u_step2-step2.wav,a,383,3,2703
71.56862745,pretest_discrimination,1,101,i-y-u_step4-step4.wav,g,373,3,2703
71.84466019,pretest_discrimination,1,102,i-y-u_step_3-step_5.wav,a,221,3,2703
72.11538462,pretest_discrimination,1,103,i-y-u_step4-step4.wav,g,436,3,2703
71.42857143,pretest_discrimination,0,104,i-y-u_step_7-step_5.wav,g,386,3,2703
71.69811321,pretest_discrimination,1,105,i-y-u_step7-step7.wav,g,482,3,2703
