"acc","block","correct_response","count_logger","fname","response_response","response_time_response","session_number","subject_nr"
"0","pretest_discrimination","0","0","i-y-u_step_5-step_3.wav","a","1160","3","2803"
"0","pretest_discrimination","0","1","i-y-u_step_3-step_1.wav","a","375","3","2803"
"33.3333333333","pretest_discrimination","1","2","i-y-u_step_7-step_5.wav","g","412","3","2803"
"25","pretest_discrimination","0","3","i-y-u_step_4-step_2.wav","a","440","3","2803"
"20","pretest_discrimination","0","4","i-y-u_step_7-step_5.wav","a","327","3","2803"
"33.3333333333","pretest_discrimination","1","5","i-y-u_step1-step1.wav","a","442","3","2803"
"42.8571428571","pretest_discrimination","1","6","i-y-u_step_2-step_4.wav","g","293","3","2803"
"50","pretest_discrimination","1","7","i-y-u_step_5-step_7.wav","g","469","3","2803"
"55.5555555556","pretest_discrimination","1","8","i-y-u_step_2-step_4.wav","g","317","3","2803"
"50","pretest_discrimination","0","9","i-y-u_step2-step2.wav","g","287","3","2803"
"54.5454545455","pretest_discrimination","1","10","i-y-u_step4-step4.wav","a","320","3","2803"
"58.3333333333","pretest_discrimination","1","11","i-y-u_step5-step5.wav","a","384","3","2803"
"61.5384615385","pretest_discrimination","1","12","i-y-u_step_5-step_7.wav","g","1428","3","2803"
"64.2857142857","pretest_discrimination","1","13","i-y-u_step_5-step_3.wav","g","618","3","2803"
"66.6666666667","pretest_discrimination","1","14","i-y-u_step_2-step_4.wav","g","327","3","2803"
"68.75","pretest_discrimination","1","15","i-y-u_step7-step7.wav","a","325","3","2803"
"70.5882352941","pretest_discrimination","1","16","i-y-u_step4-step4.wav","a","369","3","2803"
"72.2222222222","pretest_discrimination","1","17","i-y-u_step_7-step_5.wav","g","390","3","2803"
"73.6842105263","pretest_discrimination","1","18","i-y-u_step_4-step_6.wav","g","353","3","2803"
"70","pretest_discrimination","0","19","i-y-u_step7-step7.wav","g","625","3","2803"
"66.6666666667","pretest_discrimination","0","20","i-y-u_step_3-step_1.wav","a","427","3","2803"
"68.1818181818","pretest_discrimination","1","21","i-y-u_step_5-step_3.wav","g","440","3","2803"
"69.5652173913","pretest_discrimination","1","22","i-y-u_step_4-step_6.wav","g","347","3","2803"
"70.8333333333","pretest_discrimination","1","23","i-y-u_step_7-step_5.wav","g","322","3","2803"
"72","pretest_discrimination","1","24","i-y-u_step6-step6.wav","a","293","3","2803"
"73.0769230769","pretest_discrimination","1","25","i-y-u_step_4-step_6.wav","g","423","3","2803"
"74.0740740741","pretest_discrimination","1","26","i-y-u_step_5-step_7.wav","g","328","3","2803"
"71.4285714286","pretest_discrimination","0","27","i-y-u_step_7-step_5.wav","a","326","3","2803"
"72.4137931034","pretest_discrimination","1","28","i-y-u_step2-step2.wav","a","304","3","2803"
"73.3333333333","pretest_discrimination","1","29","i-y-u_step6-step6.wav","a","342","3","2803"
"74.1935483871","pretest_discrimination","1","30","i-y-u_step_5-step_3.wav","g","373","3","2803"
"75","pretest_discrimination","1","31","i-y-u_step_3-step_5.wav","g","341","3","2803"
"75.7575757576","pretest_discrimination","1","32","i-y-u_step1-step1.wav","a","313","3","2803"
"76.4705882353","pretest_discrimination","1","33","i-y-u_step_5-step_7.wav","g","306","3","2803"
"77.1428571429","pretest_discrimination","1","34","i-y-u_step5-step5.wav","a","325","3","2803"
"77.7777777778","pretest_discrimination","1","35","i-y-u_step_4-step_2.wav","g","577","3","2803"
"75.6756756757","pretest_discrimination","0","36","i-y-u_step4-step4.wav","g","239","3","2803"
"76.3157894737","pretest_discrimination","1","37","i-y-u_step_3-step_5.wav","g","397","3","2803"
"74.358974359","pretest_discrimination","0","38","i-y-u_step3-step3.wav","g","306","3","2803"
"75","pretest_discrimination","1","39","i-y-u_step_5-step_7.wav","g","381","3","2803"
"75.6097560976","pretest_discrimination","1","40","i-y-u_step_5-step_7.wav","g","243","3","2803"
"73.8095238095","pretest_discrimination","0","41","i-y-u_step3-step3.wav","g","274","3","2803"
"72.0930232558","pretest_discrimination","0","42","i-y-u_step6-step6.wav","g","316","3","2803"
"70.4545454545","pretest_discrimination","0","43","i-y-u_step6-step6.wav","g","367","3","2803"
"68.8888888889","pretest_discrimination","0","44","i-y-u_step6-step6.wav","g","620","3","2803"
"69.5652173913","pretest_discrimination","1","45","i-y-u_step4-step4.wav","a","463","3","2803"
"70.2127659574","pretest_discrimination","1","46","i-y-u_step2-step2.wav","a","238","3","2803"
"68.75","pretest_discrimination","0","47","i-y-u_step1-step1.wav","g","445","3","2803"
"69.387755102","pretest_discrimination","1","48","i-y-u_step_3-step_1.wav","g","286","3","2803"
"70","pretest_discrimination","1","49","i-y-u_step_2-step_4.wav","g","252","3","2803"
"68.6274509804","pretest_discrimination","0","50","i-y-u_step2-step2.wav","g","313","3","2803"
"67.3076923077","pretest_discrimination","0","51","i-y-u_step_2-step_4.wav","a","371","3","2803"
"67.9245283019","pretest_discrimination","1","52","i-y-u_step1-step1.wav","a","1017","3","2803"
"68.5185185185","pretest_discrimination","1","53","i-y-u_step4-step4.wav","a","212","3","2803"
"67.2727272727","pretest_discrimination","0","54","i-y-u_step5-step5.wav","g","924","3","2803"
"66.0714285714","pretest_discrimination","0","55","i-y-u_step3-step3.wav","g","512","3","2803"
"64.9122807018","pretest_discrimination","0","56","i-y-u_step_3-step_1.wav","a","574","3","2803"
"65.5172413793","pretest_discrimination","1","57","i-y-u_step6-step6.wav","a","859","3","2803"
