"acc","block","correct_response","count_logger","fname","response_response","response_time_response","session_number","subject_nr"
"100","pretest_discrimination","1","0","i-y-u_step7-step7.wav","g","605","2","1102"
"100","pretest_discrimination","1","1","i-y-u_step2-step2.wav","g","332","2","1102"
"100","pretest_discrimination","1","2","i-y-u_step5-step5.wav","g","266","2","1102"
"100","pretest_discrimination","1","3","i-y-u_step_5-step_3.wav","a","219","2","1102"
"100","pretest_discrimination","1","4","i-y-u_step7-step7.wav","g","165","2","1102"
"83.3333333333","pretest_discrimination","0","5","i-y-u_step_5-step_7.wav","g","183","2","1102"
"85.7142857143","pretest_discrimination","1","6","i-y-u_step_4-step_2.wav","a","147","2","1102"
"75","pretest_discrimination","0","7","i-y-u_step_7-step_5.wav","g","224","2","1102"
"77.7777777778","pretest_discrimination","1","8","i-y-u_step_3-step_5.wav","a","157","2","1102"
"80","pretest_discrimination","1","9","i-y-u_step7-step7.wav","g","1106","2","1102"
"81.8181818182","pretest_discrimination","1","10","i-y-u_step_7-step_5.wav","a","338","2","1102"
"83.3333333333","pretest_discrimination","1","11","i-y-u_step_2-step_4.wav","a","270","2","1102"
"84.6153846154","pretest_discrimination","1","12","i-y-u_step3-step3.wav","g","420","2","1102"
"85.7142857143","pretest_discrimination","1","13","i-y-u_step_2-step_4.wav","a","222","2","1102"
"80","pretest_discrimination","0","14","i-y-u_step_5-step_7.wav","g","612","2","1102"
"81.25","pretest_discrimination","1","15","i-y-u_step_5-step_3.wav","a","308","2","1102"
"82.3529411765","pretest_discrimination","1","16","i-y-u_step_5-step_7.wav","a","330","2","1102"
"83.3333333333","pretest_discrimination","1","17","i-y-u_step2-step2.wav","g","247","2","1102"
"84.2105263158","pretest_discrimination","1","18","i-y-u_step_4-step_2.wav","a","263","2","1102"
"85","pretest_discrimination","1","19","i-y-u_step1-step1.wav","g","271","2","1102"
"80.9523809524","pretest_discrimination","0","20","i-y-u_step_5-step_7.wav","g","1254","2","1102"
"81.8181818182","pretest_discrimination","1","21","i-y-u_step1-step1.wav","g","233","2","1102"
"82.6086956522","pretest_discrimination","1","22","i-y-u_step5-step5.wav","g","358","2","1102"
"83.3333333333","pretest_discrimination","1","23","i-y-u_step_3-step_1.wav","a","222","2","1102"
"84","pretest_discrimination","1","24","i-y-u_step4-step4.wav","g","288","2","1102"
"80.7692307692","pretest_discrimination","0","25","i-y-u_step_6-step_4.wav","g","606","2","1102"
"81.4814814815","pretest_discrimination","1","26","i-y-u_step_1-step_3.wav","a","865","2","1102"
"82.1428571429","pretest_discrimination","1","27","i-y-u_step1-step1.wav","g","220","2","1102"
"79.3103448276","pretest_discrimination","0","28","i-y-u_step_4-step_2.wav","g","565","2","1102"
"80","pretest_discrimination","1","29","i-y-u_step_3-step_5.wav","a","238","2","1102"
"80.6451612903","pretest_discrimination","1","30","i-y-u_step_4-step_2.wav","a","255","2","1102"
"81.25","pretest_discrimination","1","31","i-y-u_step_5-step_3.wav","a","392","2","1102"
"81.8181818182","pretest_discrimination","1","32","i-y-u_step_4-step_6.wav","a","440","2","1102"
"82.3529411765","pretest_discrimination","1","33","i-y-u_step_1-step_3.wav","a","244","2","1102"
"82.8571428571","pretest_discrimination","1","34","i-y-u_step_5-step_3.wav","a","322","2","1102"
"83.3333333333","pretest_discrimination","1","35","i-y-u_step_4-step_6.wav","a","273","2","1102"
"83.7837837838","pretest_discrimination","1","36","i-y-u_step_3-step_1.wav","a","450","2","1102"
"84.2105263158","pretest_discrimination","1","37","i-y-u_step4-step4.wav","g","381","2","1102"
"84.6153846154","pretest_discrimination","1","38","i-y-u_step4-step4.wav","g","210","2","1102"
"85","pretest_discrimination","1","39","i-y-u_step_2-step_4.wav","a","1130","2","1102"
"85.3658536585","pretest_discrimination","1","40","i-y-u_step_1-step_3.wav","a","282","2","1102"
"85.7142857143","pretest_discrimination","1","41","i-y-u_step_4-step_2.wav","a","410","2","1102"
"86.0465116279","pretest_discrimination","1","42","i-y-u_step_4-step_6.wav","a","259","2","1102"
"86.3636363636","pretest_discrimination","1","43","i-y-u_step2-step2.wav","g","408","2","1102"
"86.6666666667","pretest_discrimination","1","44","i-y-u_step4-step4.wav","g","1098","2","1102"
"86.9565217391","pretest_discrimination","1","45","i-y-u_step_3-step_5.wav","a","165","2","1102"
"85.1063829787","pretest_discrimination","0","46","i-y-u_step_4-step_6.wav","g","936","2","1102"
"85.4166666667","pretest_discrimination","1","47","i-y-u_step1-step1.wav","g","248","2","1102"
"85.7142857143","pretest_discrimination","1","48","i-y-u_step5-step5.wav","g","196","2","1102"
"86","pretest_discrimination","1","49","i-y-u_step4-step4.wav","g","134","2","1102"
"86.2745098039","pretest_discrimination","1","50","i-y-u_step4-step4.wav","g","110","2","1102"
"86.5384615385","pretest_discrimination","1","51","i-y-u_step7-step7.wav","g","273","2","1102"
"84.9056603774","pretest_discrimination","0","52","i-y-u_step_2-step_4.wav","g","488","2","1102"
"83.3333333333","pretest_discrimination","0","53","i-y-u_step_2-step_4.wav","g","270","2","1102"
"81.8181818182","pretest_discrimination","0","54","i-y-u_step_5-step_3.wav","g","253","2","1102"
"82.1428571429","pretest_discrimination","1","55","i-y-u_step5-step5.wav","g","162","2","1102"
"82.4561403509","pretest_discrimination","1","56","i-y-u_step_3-step_5.wav","a","157","2","1102"
"82.7586206897","pretest_discrimination","1","57","i-y-u_step_5-step_3.wav","a","282","2","1102"
"83.0508474576","pretest_discrimination","1","58","i-y-u_step_1-step_3.wav","a","644","2","1102"
"83.3333333333","pretest_discrimination","1","59","i-y-u_step_3-step_5.wav","a","182","2","1102"
"83.606557377","pretest_discrimination","1","60","i-y-u_step6-step6.wav","g","270","2","1102"
"83.8709677419","pretest_discrimination","1","61","i-y-u_step_5-step_3.wav","a","875","2","1102"
"84.126984127","pretest_discrimination","1","62","i-y-u_step_5-step_7.wav","a","398","2","1102"
"84.375","pretest_discrimination","1","63","i-y-u_step_6-step_4.wav","a","262","2","1102"
"84.6153846154","pretest_discrimination","1","64","i-y-u_step_1-step_3.wav","a","243","2","1102"
"84.8484848485","pretest_discrimination","1","65","i-y-u_step_1-step_3.wav","a","188","2","1102"
"85.0746268657","pretest_discrimination","1","66","i-y-u_step1-step1.wav","g","224","2","1102"
"85.2941176471","pretest_discrimination","1","67","i-y-u_step7-step7.wav","g","229","2","1102"
"84.0579710145","pretest_discrimination","0","68","i-y-u_step_3-step_1.wav","g","1218","2","1102"
"84.2857142857","pretest_discrimination","1","69","i-y-u_step_4-step_2.wav","a","444","2","1102"
"84.5070422535","pretest_discrimination","1","70","i-y-u_step4-step4.wav","g","3753","2","1102"
"84.7222222222","pretest_discrimination","1","71","i-y-u_step_5-step_3.wav","a","219","2","1102"
"83.5616438356","pretest_discrimination","0","72","i-y-u_step_6-step_4.wav","g","538","2","1102"
"83.7837837838","pretest_discrimination","1","73","i-y-u_step5-step5.wav","g","261","2","1102"
"82.6666666667","pretest_discrimination","0","74","i-y-u_step_2-step_4.wav","g","423","2","1102"
"82.8947368421","pretest_discrimination","1","75","i-y-u_step_1-step_3.wav","a","250","2","1102"
"81.8181818182","pretest_discrimination","0","76","i-y-u_step_5-step_3.wav","g","295","2","1102"
"82.0512820513","pretest_discrimination","1","77","i-y-u_step6-step6.wav","g","132","2","1102"
"82.2784810127","pretest_discrimination","1","78","i-y-u_step1-step1.wav","g","191","2","1102"
"82.5","pretest_discrimination","1","79","i-y-u_step6-step6.wav","g","723","2","1102"
"81.4814814815","pretest_discrimination","0","80","i-y-u_step_1-step_3.wav","g","508","2","1102"
"81.7073170732","pretest_discrimination","1","81","i-y-u_step3-step3.wav","g","131","2","1102"
"81.9277108434","pretest_discrimination","1","82","i-y-u_step3-step3.wav","g","113","2","1102"
"82.1428571429","pretest_discrimination","1","83","i-y-u_step_7-step_5.wav","a","624","2","1102"
"82.3529411765","pretest_discrimination","1","84","i-y-u_step_5-step_7.wav","a","1048","2","1102"
"82.5581395349","pretest_discrimination","1","85","i-y-u_step_5-step_7.wav","a","817","2","1102"
"82.7586206897","pretest_discrimination","1","86","i-y-u_step7-step7.wav","g","392","2","1102"
"82.9545454545","pretest_discrimination","1","87","i-y-u_step_4-step_6.wav","a","553","2","1102"
"83.1460674157","pretest_discrimination","1","88","i-y-u_step5-step5.wav","g","905","2","1102"
"83.3333333333","pretest_discrimination","1","89","i-y-u_step_2-step_4.wav","a","461","2","1102"
"82.4175824176","pretest_discrimination","0","90","i-y-u_step_7-step_5.wav","g","598","2","1102"
"82.6086956522","pretest_discrimination","1","91","i-y-u_step4-step4.wav","g","290","2","1102"
"81.7204301075","pretest_discrimination","0","92","i-y-u_step_7-step_5.wav","g","331","2","1102"
"81.914893617","pretest_discrimination","1","93","i-y-u_step_3-step_1.wav","a","558","2","1102"
"82.1052631579","pretest_discrimination","1","94","i-y-u_step_3-step_1.wav","a","817","2","1102"
"81.25","pretest_discrimination","0","95","i-y-u_step_7-step_5.wav","g","779","2","1102"
"80.412371134","pretest_discrimination","0","96","i-y-u_step_5-step_7.wav","g","229","2","1102"
"80.612244898","pretest_discrimination","1","97","i-y-u_step5-step5.wav","g","176","2","1102"
"80.8080808081","pretest_discrimination","1","98","i-y-u_step_6-step_4.wav","a","300","2","1102"
"81","pretest_discrimination","1","99","i-y-u_step_3-step_5.wav","a","538","2","1102"
"81.1881188119","pretest_discrimination","1","100","i-y-u_step_6-step_4.wav","a","216","2","1102"
"81.3725490196","pretest_discrimination","1","101","i-y-u_step5-step5.wav","g","246","2","1102"
"81.5533980583","pretest_discrimination","1","102","i-y-u_step_4-step_2.wav","a","142","2","1102"
"81.7307692308","pretest_discrimination","1","103","i-y-u_step1-step1.wav","g","118","2","1102"
"81.9047619048","pretest_discrimination","1","104","i-y-u_step3-step3.wav","g","144","2","1102"
"81.1320754717","pretest_discrimination","0","105","i-y-u_step_6-step_4.wav","g","260","2","1102"
"80.3738317757","pretest_discrimination","0","106","i-y-u_step_4-step_6.wav","g","157","2","1102"
"79.6296296296","pretest_discrimination","0","107","i-y-u_step5-step5.wav","a","142","2","1102"
"79.8165137615","pretest_discrimination","1","108","i-y-u_step_4-step_2.wav","a","168","2","1102"
"79.0909090909","pretest_discrimination","0","109","i-y-u_step_6-step_4.wav","g","285","2","1102"
"79.2792792793","pretest_discrimination","1","110","i-y-u_step6-step6.wav","g","256","2","1102"
"79.4642857143","pretest_discrimination","1","111","i-y-u_step_1-step_3.wav","a","419","2","1102"
"79.6460176991","pretest_discrimination","1","112","i-y-u_step_4-step_6.wav","a","435","2","1102"
"79.8245614035","pretest_discrimination","1","113","i-y-u_step1-step1.wav","g","261","2","1102"
"80","pretest_discrimination","1","114","i-y-u_step_4-step_2.wav","a","1303","2","1102"
"80.1724137931","pretest_discrimination","1","115","i-y-u_step2-step2.wav","g","375","2","1102"
"80.3418803419","pretest_discrimination","1","116","i-y-u_step6-step6.wav","g","348","2","1102"
"80.5084745763","pretest_discrimination","1","117","i-y-u_step3-step3.wav","g","421","2","1102"
"79.8319327731","pretest_discrimination","0","118","i-y-u_step_7-step_5.wav","g","469","2","1102"
"80","pretest_discrimination","1","119","i-y-u_step_3-step_5.wav","a","187","2","1102"
"79.3388429752","pretest_discrimination","0","120","i-y-u_step_4-step_2.wav","g","1578","2","1102"
"79.5081967213","pretest_discrimination","1","121","i-y-u_step7-step7.wav","g","178","2","1102"
"78.8617886179","pretest_discrimination","0","122","i-y-u_step_6-step_4.wav","g","166","2","1102"
"78.2258064516","pretest_discrimination","0","123","i-y-u_step_2-step_4.wav","g","283","2","1102"
"78.4","pretest_discrimination","1","124","i-y-u_step6-step6.wav","g","152","2","1102"
"77.7777777778","pretest_discrimination","0","125","i-y-u_step_5-step_7.wav","g","144","2","1102"
"77.9527559055","pretest_discrimination","1","126","i-y-u_step7-step7.wav","g","178","2","1102"
"78.125","pretest_discrimination","1","127","i-y-u_step3-step3.wav","g","288","2","1102"
"78.2945736434","pretest_discrimination","1","128","i-y-u_step6-step6.wav","g","331","2","1102"
"78.4615384615","pretest_discrimination","1","129","i-y-u_step7-step7.wav","g","339","2","1102"
