"acc","block","correct_response","count_logger","fname","response_response","response_time_response","session_number","subject_nr"
"0","pretest_discrimination","0","0","i-y-u_step_7-step_5.wav","None","6000","1","1001"
"0","pretest_discrimination","0","1","i-y-u_step4-step4.wav","g","2283","1","1001"
"33.3333333333","pretest_discrimination","1","2","i-y-u_step_5-step_3.wav","g","2285","1","1001"
"50","pretest_discrimination","1","3","i-y-u_step3-step3.wav","a","854","1","1001"
"60","pretest_discrimination","1","4","i-y-u_step_6-step_4.wav","g","1009","1","1001"
"66.6666666667","pretest_discrimination","1","5","i-y-u_step1-step1.wav","a","1540","1","1001"
"71.4285714286","pretest_discrimination","1","6","i-y-u_step1-step1.wav","a","617","1","1001"
"75","pretest_discrimination","1","7","i-y-u_step3-step3.wav","a","891","1","1001"
"66.6666666667","pretest_discrimination","0","8","i-y-u_step5-step5.wav","g","436","1","1001"
"70","pretest_discrimination","1","9","i-y-u_step_5-step_7.wav","g","629","1","1001"
"72.7272727273","pretest_discrimination","1","10","i-y-u_step_3-step_1.wav","g","339","1","1001"
"75","pretest_discrimination","1","11","i-y-u_step_5-step_3.wav","g","515","1","1001"
"76.9230769231","pretest_discrimination","1","12","i-y-u_step_6-step_4.wav","g","410","1","1001"
"78.5714285714","pretest_discrimination","1","13","i-y-u_step1-step1.wav","a","732","1","1001"
"73.3333333333","pretest_discrimination","0","14","i-y-u_step_3-step_1.wav","a","1181","1","1001"
"75","pretest_discrimination","1","15","i-y-u_step_1-step_3.wav","g","516","1","1001"
"76.4705882353","pretest_discrimination","1","16","i-y-u_step_4-step_2.wav","g","190","1","1001"
"72.2222222222","pretest_discrimination","0","17","i-y-u_step7-step7.wav","g","360","1","1001"
"68.4210526316","pretest_discrimination","0","18","i-y-u_step5-step5.wav","None","6000","1","1001"
"65","pretest_discrimination","0","19","i-y-u_step_1-step_3.wav","None","6000","1","1001"
"61.9047619048","pretest_discrimination","0","20","i-y-u_step_3-step_5.wav","None","6000","1","1001"
"59.0909090909","pretest_discrimination","0","21","i-y-u_step_4-step_6.wav","None","6000","1","1001"
"56.5217391304","pretest_discrimination","0","22","i-y-u_step_2-step_4.wav","a","5131","1","1001"
"54.1666666667","pretest_discrimination","0","23","i-y-u_step3-step3.wav","g","4471","1","1001"
